customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment
C10000,5,2,210.58,5,1,2,8,5-1-2,Potential Loyalists
C10001,194,5,3246.02,2,3,5,10,2-3-5,At Risk
C10002,401,5,216.85000000000002,1,3,2,6,1-3-2,At Risk
C10003,72,3,154.3,4,1,1,6,4-1-1,Potential Loyalists
C10004,600,3,716.99,1,1,4,6,1-1-4,Hibernating
C10005,210,3,216.26,2,1,2,5,2-1-2,Hibernating
C10006,201,2,355.74,2,1,2,5,2-1-2,Hibernating
C10007,70,6,734.63,4,4,4,12,4-4-4,Champions
C10008,34,2,276.65999999999997,5,1,2,8,5-1-2,Potential Loyalists
C10009,283,5,659.5500000000001,1,3,4,8,1-3-4,At Risk
C10010,377,3,1578.0,1,1,5,7,1-1-5,Hibernating
C10011,68,6,1381.07,4,4,5,13,4-4-5,Champions
C10012,211,5,1801.64,2,3,5,10,2-3-5,At Risk
C10013,176,4,681.33,2,2,4,8,2-2-4,At Risk
C10014,284,2,215.05,1,1,2,4,1-1-2,Hibernating
C10015,190,5,1865.9,2,3,5,10,2-3-5,At Risk
C10016,25,6,796.44,5,4,4,13,5-4-4,Champions
C10017,315,2,68.11,1,1,1,3,1-1-1,Hibernating
C10018,12,12,728.1,5,5,4,14,5-5-4,Champions
C10019,33,1,4.4,5,1,1,7,5-1-1,Potential Loyalists
C10020,108,5,627.31,3,3,3,9,3-3-3,Loyal Customers
C10021,192,3,1079.1200000000001,2,1,4,7,2-1-4,Hibernating
C10022,38,4,914.7700000000001,4,2,4,10,4-2-4,Potential Loyalists
C10023,63,6,376.53000000000003,4,4,3,11,4-4-3,Champions
C10024,8,5,237.69,5,3,2,10,5-3-2,Loyal Customers
C10025,108,4,720.37,3,2,4,9,3-2-4,Needs Attention
C10026,233,3,283.3,2,1,2,5,2-1-2,Hibernating
C10027,9,10,963.57,5,5,4,14,5-5-4,Champions
C10028,131,5,317.21999999999997,3,3,2,8,3-3-2,Loyal Customers
C10029,415,4,170.05,1,2,1,4,1-2-1,At Risk
C10030,50,3,273.55999999999995,4,1,2,7,4-1-2,Potential Loyalists
C10031,178,2,137.26999999999998,2,1,1,4,2-1-1,Hibernating
C10032,120,3,91.03,3,1,1,5,3-1-1,Needs Attention
C10033,425,1,39.02,1,1,1,3,1-1-1,Hibernating
C10034,39,3,177.51999999999998,4,1,2,7,4-1-2,Potential Loyalists
C10035,209,1,97.72,2,1,1,4,2-1-1,Hibernating
C10036,409,3,54.1,1,1,1,3,1-1-1,Hibernating
C10037,47,4,1035.96,4,2,4,10,4-2-4,Potential Loyalists
C10038,152,5,146.09,2,3,1,6,2-3-1,At Risk
C10039,113,1,166.46,3,1,1,5,3-1-1,Needs Attention
C10040,61,5,180.98000000000002,4,3,2,9,4-3-2,Loyal Customers
C10041,411,2,330.64,1,1,2,4,1-1-2,Hibernating
C10042,3,5,185.7,5,3,2,10,5-3-2,Loyal Customers
C10043,26,5,1675.46,5,3,5,13,5-3-5,Loyal Customers
C10044,264,4,2698.53,2,2,5,9,2-2-5,At Risk
C10045,280,4,376.72,1,2,3,6,1-2-3,At Risk
C10046,559,1,54.62,1,1,1,3,1-1-1,Hibernating
C10047,40,3,718.65,4,1,4,9,4-1-4,Potential Loyalists
C10048,325,3,64.92,1,1,1,3,1-1-1,Hibernating
C10049,30,2,77.23,5,1,1,7,5-1-1,Potential Loyalists
C10050,215,4,563.25,2,2,3,7,2-2-3,At Risk
C10051,7,6,779.9,5,4,4,13,5-4-4,Champions
C10052,108,3,56.1,3,1,1,5,3-1-1,Needs Attention
C10053,25,3,93.19999999999999,5,1,1,7,5-1-1,Potential Loyalists
C10054,92,4,381.18,3,2,3,8,3-2-3,Needs Attention
C10055,287,4,1018.72,1,2,4,7,1-2-4,At Risk
C10056,288,3,838.35,1,1,4,6,1-1-4,Hibernating
C10057,144,2,94.43,3,1,1,5,3-1-1,Needs Attention
C10058,50,7,1290.28,4,5,5,14,4-5-5,Champions
C10059,520,2,802.08,1,1,4,6,1-1-4,Hibernating
C10060,108,8,2044.12,3,5,5,13,3-5-5,Loyal Customers
C10061,55,4,1039.97,4,2,4,10,4-2-4,Potential Loyalists
C10062,191,5,302.9,2,3,2,7,2-3-2,At Risk
C10063,116,3,420.26,3,1,3,7,3-1-3,Needs Attention
C10064,152,5,413.46,2,3,3,8,2-3-3,At Risk
C10065,17,5,245.35,5,3,2,10,5-3-2,Loyal Customers
C10066,337,8,2920.1099999999997,1,5,5,11,1-5-5,Can't Lose Them
C10067,81,4,489.21,4,2,3,9,4-2-3,Potential Loyalists
C10068,94,5,923.3399999999999,3,3,4,10,3-3-4,Loyal Customers
C10069,290,4,384.08,1,2,3,6,1-2-3,At Risk
C10070,108,4,799.35,3,2,4,9,3-2-4,Needs Attention
C10071,111,10,902.48,3,5,4,12,3-5-4,Loyal Customers
C10072,40,6,1261.13,4,4,5,13,4-4-5,Champions
C10073,54,5,1091.0800000000002,4,3,4,11,4-3-4,Loyal Customers
C10074,32,5,175.82999999999998,5,3,2,10,5-3-2,Loyal Customers
C10075,353,2,22.85,1,1,1,3,1-1-1,Hibernating
C10076,98,4,256.45,3,2,2,7,3-2-2,Needs Attention
C10077,451,3,188.57999999999998,1,1,2,4,1-1-2,Hibernating
C10078,48,4,1240.4,4,2,5,11,4-2-5,Potential Loyalists
C10079,67,6,988.2700000000001,4,4,4,12,4-4-4,Champions
C10080,18,5,339.25,5,3,2,10,5-3-2,Loyal Customers
C10081,323,6,176.85,1,4,2,7,1-4-2,Can't Lose Them
C10082,59,2,94.86,4,1,1,6,4-1-1,Potential Loyalists
C10083,43,4,1610.28,4,2,5,11,4-2-5,Potential Loyalists
C10084,146,6,303.61,3,4,2,9,3-4-2,Loyal Customers
C10085,58,5,144.97,4,3,1,8,4-3-1,Loyal Customers
C10086,125,2,23.15,3,1,1,5,3-1-1,Needs Attention
C10087,473,2,130.64000000000001,1,1,1,3,1-1-1,Hibernating
C10088,67,4,376.75,4,2,3,9,4-2-3,Potential Loyalists
C10089,240,7,1392.8,2,5,5,12,2-5-5,Can't Lose Them
C10090,195,3,1452.69,2,1,5,8,2-1-5,Hibernating
C10091,217,7,939.5,2,5,4,11,2-5-4,Can't Lose Them
