customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment,Cluster
C10000,5,2,210.58,5,1,2,8,5-1-2,Potential Loyalists,Occasional
C10001,194,5,3246.02,2,3,5,10,2-3-5,At Risk,Champions
C10002,401,5,216.85,1,3,2,6,1-3-2,At Risk,Dormant
C10003,72,3,154.3,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10004,600,3,716.99,1,1,4,6,1-1-4,Hibernating,Dormant
C10005,210,3,216.26,2,1,2,5,2-1-2,Hibernating,Occasional
C10006,201,2,355.74,2,1,2,5,2-1-2,Hibernating,Occasional
C10007,70,6,734.63,4,4,4,12,4-4-4,Champions,Champions
C10008,34,2,276.66,5,1,2,8,5-1-2,Potential Loyalists,Occasional
C10009,283,5,659.5500000000001,1,3,4,8,1-3-4,At Risk,Core Regulars
C10010,377,3,1578.0,1,1,5,7,1-1-5,Hibernating,Dormant
C10011,68,6,1381.07,4,4,5,13,4-4-5,Champions,Champions
C10012,211,5,1801.64,2,3,5,10,2-3-5,At Risk,Core Regulars
C10013,176,4,681.33,2,2,4,8,2-2-4,At Risk,Core Regulars
C10014,284,2,215.05,1,1,2,4,1-1-2,Hibernating,Dormant
C10015,190,5,1865.9,2,3,5,10,2-3-5,At Risk,Core Regulars
C10016,25,6,796.44,5,4,4,13,5-4-4,Champions,Champions
C10017,315,2,68.11,1,1,1,3,1-1-1,Hibernating,Dormant
C10018,12,12,728.1,5,5,4,14,5-5-4,Champions,Champions
C10019,33,1,4.4,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10020,108,5,627.31,3,3,3,9,3-3-3,Loyal Customers,Core Regulars
C10021,192,3,1079.12,2,1,4,7,2-1-4,Hibernating,Core Regulars
C10022,38,4,914.77,4,2,4,10,4-2-4,Potential Loyalists,Core Regulars
C10023,63,6,376.53,4,4,3,11,4-4-3,Champions,Champions
C10024,8,5,237.69,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10025,108,4,720.37,3,2,4,9,3-2-4,Needs Attention,Core Regulars
C10026,233,3,283.3,2,1,2,5,2-1-2,Hibernating,Core Regulars
C10027,9,10,963.57,5,5,4,14,5-5-4,Champions,Champions
C10028,131,5,317.22,3,3,2,8,3-3-2,Loyal Customers,Core Regulars
C10029,415,4,170.05,1,2,1,4,1-2-1,At Risk,Dormant
C10030,50,3,273.55999999999995,4,1,2,7,4-1-2,Potential Loyalists,Core Regulars
C10031,178,2,137.26999999999998,2,1,1,4,2-1-1,Hibernating,Occasional
C10032,120,3,91.03,3,1,1,5,3-1-1,Needs Attention,Occasional
C10033,425,1,39.02,1,1,1,3,1-1-1,Hibernating,Dormant
C10034,39,3,177.51999999999998,4,1,2,7,4-1-2,Potential Loyalists,Occasional
C10035,209,1,97.72,2,1,1,4,2-1-1,Hibernating,Occasional
C10036,409,3,54.1,1,1,1,3,1-1-1,Hibernating,Dormant
C10037,47,4,1035.96,4,2,4,10,4-2-4,Potential Loyalists,Core Regulars
C10038,152,5,146.09,2,3,1,6,2-3-1,At Risk,Occasional
C10039,113,1,166.46,3,1,1,5,3-1-1,Needs Attention,Occasional
C10040,61,5,180.98,4,3,2,9,4-3-2,Loyal Customers,Core Regulars
C10041,411,2,330.64,1,1,2,4,1-1-2,Hibernating,Dormant
C10042,3,5,185.7,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10043,26,5,1675.46,5,3,5,13,5-3-5,Loyal Customers,Champions
C10044,264,4,2698.53,2,2,5,9,2-2-5,At Risk,Core Regulars
C10045,280,4,376.72,1,2,3,6,1-2-3,At Risk,Core Regulars
C10046,559,1,54.62,1,1,1,3,1-1-1,Hibernating,Dormant
C10047,40,3,718.65,4,1,4,9,4-1-4,Potential Loyalists,Core Regulars
C10048,325,3,64.92,1,1,1,3,1-1-1,Hibernating,Dormant
C10049,30,2,77.23,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10050,215,4,563.25,2,2,3,7,2-2-3,At Risk,Core Regulars
C10051,7,6,779.9,5,4,4,13,5-4-4,Champions,Champions
C10052,108,3,56.1,3,1,1,5,3-1-1,Needs Attention,Occasional
C10053,25,3,93.2,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10054,92,4,381.18,3,2,3,8,3-2-3,Needs Attention,Core Regulars
C10055,287,4,1018.72,1,2,4,7,1-2-4,At Risk,Core Regulars
C10056,288,3,838.35,1,1,4,6,1-1-4,Hibernating,Core Regulars
C10057,144,2,94.43,3,1,1,5,3-1-1,Needs Attention,Occasional
C10058,50,7,1290.28,4,5,5,14,4-5-5,Champions,Champions
C10059,520,2,802.08,1,1,4,6,1-1-4,Hibernating,Dormant
C10060,108,8,2044.12,3,5,5,13,3-5-5,Loyal Customers,Champions
C10061,55,4,1039.97,4,2,4,10,4-2-4,Potential Loyalists,Core Regulars
C10062,191,5,302.9,2,3,2,7,2-3-2,At Risk,Core Regulars
C10063,116,3,420.26,3,1,3,7,3-1-3,Needs Attention,Core Regulars
C10064,152,5,413.46,2,3,3,8,2-3-3,At Risk,Core Regulars
C10065,17,5,245.35,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10066,337,8,2920.11,1,5,5,11,1-5-5,Can't Lose Them,Champions
C10067,81,4,489.21,4,2,3,9,4-2-3,Potential Loyalists,Core Regulars
C10068,94,5,923.34,3,3,4,10,3-3-4,Loyal Customers,Core Regulars
C10069,290,4,384.08,1,2,3,6,1-2-3,At Risk,Core Regulars
C10070,108,4,799.35,3,2,4,9,3-2-4,Needs Attention,Core Regulars
C10071,111,10,902.48,3,5,4,12,3-5-4,Loyal Customers,Champions
C10072,40,6,1261.13,4,4,5,13,4-4-5,Champions,Champions
C10073,54,5,1091.0800000000002,4,3,4,11,4-3-4,Loyal Customers,Core Regulars
C10074,32,5,175.82999999999998,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10075,353,2,22.85,1,1,1,3,1-1-1,Hibernating,Dormant
C10076,98,4,256.45,3,2,2,7,3-2-2,Needs Attention,Core Regulars
C10077,451,3,188.58,1,1,2,4,1-1-2,Hibernating,Dormant
C10078,48,4,1240.4,4,2,5,11,4-2-5,Potential Loyalists,Core Regulars
C10079,67,6,988.27,4,4,4,12,4-4-4,Champions,Champions
C10080,18,5,339.25,5,3,2,10,5-3-2,Loyal Customers,Core Regulars
C10081,323,6,176.85,1,4,2,7,1-4-2,Can't Lose Them,Dormant
C10082,59,2,94.86,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10083,43,4,1610.28,4,2,5,11,4-2-5,Potential Loyalists,Core Regulars
C10084,146,6,303.61,3,4,2,9,3-4-2,Loyal Customers,Core Regulars
C10085,58,5,144.97,4,3,1,8,4-3-1,Loyal Customers,Occasional
C10086,125,2,23.15,3,1,1,5,3-1-1,Needs Attention,Occasional
C10087,473,2,130.64,1,1,1,3,1-1-1,Hibernating,Dormant
C10088,67,4,376.75,4,2,3,9,4-2-3,Potential Loyalists,Core Regulars
C10089,240,7,1392.8,2,5,5,12,2-5-5,Can't Lose Them,Champions
C10090,195,3,1452.69,2,1,5,8,2-1-5,Hibernating,Core Regulars
C10091,217,7,939.5,2,5,4,11,2-5-4,Can't Lose Them,Champions
C10092,422,4,776.72,1,2,4,7,1-2-4,At Risk,Dormant
C10093,537,2,37.33,1,1,1,3,1-1-1,Hibernating,Dormant
C10094,270,4,1045.52,1,2,4,7,1-2-4,At Risk,Core Regulars
C10095,107,5,106.61,3,3,1,7,3-3-1,Loyal Customers,Occasional
C10096,132,1,3.11,3,1,1,5,3-1-1,Needs Attention,Occasional
C10097,49,5,174.4,4,3,2,9,4-3-2,Loyal Customers,Core Regulars
C10098,142,7,1435.16,3,5,5,13,3-5-5,Loyal Customers,Champions
C10099,614,2,63.16,1,1,1,3,1-1-1,Hibernating,Dormant
C10100,433,3,228.57,1,1,2,4,1-1-2,Hibernating,Dormant
C10101,174,1,2.5,2,1,1,4,2-1-1,Hibernating,Occasional
C10102,111,7,655.6800000000001,3,5,4,12,3-5-4,Loyal Customers,Champions
C10103,224,1,17.12,2,1,1,4,2-1-1,Hibernating,Occasional
C10104,168,6,374.37,2,4,3,9,2-4-3,Can't Lose Them,Core Regulars
C10105,115,8,486.63,3,5,3,11,3-5-3,Loyal Customers,Champions
C10106,37,10,2057.57,4,5,5,14,4-5-5,Champions,Champions
C10107,242,4,323.6,2,2,2,6,2-2-2,At Risk,Core Regulars
C10108,231,1,46.71,2,1,1,4,2-1-1,Hibernating,Occasional
C10109,54,8,523.49,4,5,3,12,4-5-3,Champions,Champions
C10110,12,9,401.56,5,5,3,13,5-5-3,Champions,Champions
C10111,197,6,1099.55,2,4,4,10,2-4-4,Can't Lose Them,Champions
C10112,68,3,27.43,4,1,1,6,4-1-1,Potential Loyalists,Occasional
C10113,88,3,65.08,3,1,1,5,3-1-1,Needs Attention,Occasional
C10114,124,6,230.03,3,4,2,9,3-4-2,Loyal Customers,Core Regulars
C10115,226,6,203.24,2,4,2,8,2-4-2,Can't Lose Them,Core Regulars
C10116,9,7,817.54,5,5,4,14,5-5-4,Champions,Champions
C10117,263,3,94.7,2,1,1,4,2-1-1,Hibernating,Occasional
C10118,187,2,288.45000000000005,2,1,2,5,2-1-2,Hibernating,Occasional
C10119,108,2,79.71000000000001,3,1,1,5,3-1-1,Needs Attention,Occasional
C10120,269,3,119.77,1,1,1,3,1-1-1,Hibernating,Occasional
C10121,30,2,244.29,5,1,2,8,5-1-2,Potential Loyalists,Occasional
C10122,120,4,493.63,3,2,3,8,3-2-3,Needs Attention,Core Regulars
C10123,169,4,278.65,2,2,2,6,2-2-2,At Risk,Core Regulars
C10124,162,4,1567.66,2,2,5,9,2-2-5,At Risk,Core Regulars
C10125,26,6,2549.82,5,4,5,14,5-4-5,Champions,Champions
C10126,123,2,116.9,3,1,1,5,3-1-1,Needs Attention,Occasional
C10127,524,2,202.11,1,1,2,4,1-1-2,Hibernating,Dormant
C10128,186,5,568.1899999999999,2,3,3,8,2-3-3,At Risk,Core Regulars
C10129,366,5,436.82,1,3,3,7,1-3-3,At Risk,Dormant
C10130,337,4,164.99,1,2,1,4,1-2-1,At Risk,Dormant
C10131,272,5,181.97,1,3,2,6,1-3-2,At Risk,Core Regulars
C10132,590,3,741.55,1,1,4,6,1-1-4,Hibernating,Dormant
C10133,19,7,2256.3900000000003,5,5,5,15,5-5-5,Champions,Champions
C10134,234,3,774.12,2,1,4,7,2-1-4,Hibernating,Core Regulars
C10135,5,4,238.95,5,2,2,9,5-2-2,Potential Loyalists,Core Regulars
C10136,47,5,423.66,4,3,3,10,4-3-3,Loyal Customers,Core Regulars
C10137,28,4,187.68,5,2,2,9,5-2-2,Potential Loyalists,Occasional
C10138,70,7,331.26,4,5,2,11,4-5-2,Champions,Champions
C10139,5,3,148.34,5,1,1,7,5-1-1,Potential Loyalists,Occasional
C10140,3,5,1308.65,5,3,5,13,5-3-5,Loyal Customers,Core Regulars
C10141,121,5,409.84,3,3,3,9,3-3-3,Loyal Customers,Core Regulars
C10142,1,7,379.74,5,5,3,13,5-5-3,Champions,Champions
C10143,41,6,2263.23,4,4,5,13,4-4-5,Champions,Champions
C10144,598,1,64.7,1,1,1,3,1-1-1,Hibernating,Dormant
C10145,41,4,721.9699999999999,4,2,4,10,4-2-4,Potential Loyalists,Core Regulars
C10146,33,5,912.17,5,3,4,12,5-3-4,Loyal Customers,Core Regulars
C10147,67,4,606.77,4,2,3,9,4-2-3,Potential Loyalists,Core Regulars
C10148,232,8,847.47,2,5,4,11,2-5-4,Can't Lose Them,Champions
C10149,179,4,1560.38,2,2,5,9,2-2-5,At Risk,Core Regulars
C10150,230,2,612.3399999999999,2,1,3,6,2-1-3,Hibernating,Core Regulars
C10151,90,6,3336.53,3,4,5,12,3-4-5,Loyal Customers,Champions
C10152,295,2,119.0,1,1,1,3,1-1-1,Hibernating,Dormant
C10153,22,7,843.53,5,5,4,14,5-5-4,Champions,Champions
C10154,99,7,827.0,3,5,4,12,3-5-4,Loyal Customers,Champions
C10155,349,4,930.01,1,2,4,7,1-2-4,At Risk,Core Regulars
