customer_id,CLV_180d,CLV_365d,CLV_Tier,Segment,Recency,frequency,monetary_value
C17116,1723.539492169116,3494.9550813429264,Platinum,Can't Lose Them,456,4.0,1615.5225
C17807,1635.0688193658807,3315.5562170474777,Platinum,Can't Lose Them,232,4.0,1380.0075000000002
C17337,1489.060730436766,3019.484258941219,Platinum,At Risk,201,2.0,1418.4299999999998
C10160,1435.7925855452736,2911.4682984667975,Platinum,At Risk,161,4.0,1173.6025000000002
C14627,1428.6549474001408,2896.9947544502847,Platinum,At Risk,549,3.0,1506.3166666666666
C10975,1406.895544509863,2852.871520811644,Platinum,Can't Lose Them,330,9.0,753.04
C15566,1286.591415557983,2608.921481548134,Platinum,At Risk,220,3.0,993.2933333333332
C16875,1246.112821708619,2526.839888464702,Platinum,At Risk,175,3.0,1220.5366666666666
C11719,1202.2257180238075,2437.8465948816097,Platinum,At Risk,213,4.0,1021.2199999999999
C10415,1192.8632185393042,2418.861526482471,Platinum,At Risk,215,3.0,1290.9566666666667
C17131,1169.9325404438976,2372.3632070112403,Platinum,Can't Lose Them,168,7.0,723.9014285714286
C17537,1160.4465531358278,2353.1277327476555,Platinum,Can't Lose Them,236,5.0,930.53
C17292,1139.5926582802113,2310.8406681793135,Platinum,At Risk,385,2.0,1250.2849999999999
C16432,1133.4764275023683,2298.438311324247,Platinum,At Risk,407,3.0,1218.1533333333334
C11411,1069.4546074650773,2168.61628735974,Platinum,At Risk,499,2.0,1290.36
C15522,1068.7743077499033,2167.236790715083,Platinum,At Risk,177,3.0,1137.5633333333333
C14553,1044.1884922924428,2117.3822204818975,Platinum,At Risk,272,2.0,1191.675
C11822,1037.2479129386586,2103.3082679033896,Platinum,At Risk,180,2.0,1124.07
C12779,1024.3461624729332,2077.146385014574,Platinum,Can't Lose Them,181,9.0,492.4566666666667
C17767,991.4293795338597,2010.3984640547678,Platinum,At Risk,427,2.0,1113.825
C17651,981.868750630153,1991.0116332222533,Platinum,At Risk,377,2.0,1071.565
C14585,981.8240158787826,1990.920921087523,Platinum,Can't Lose Them,155,5.0,784.422
C11685,973.958838266453,1974.9720887069755,Platinum,At Risk,279,4.0,745.6875
C13111,960.0459122712599,1946.759766550052,Platinum,At Risk,161,2.0,1053.02
C15921,954.0117546531815,1934.5238358245062,Platinum,Can't Lose Them,177,5.0,602.894
C11874,941.366846124842,1908.8827713087064,Platinum,At Risk,212,2.0,1020.0
C12523,934.911828972504,1895.7934309720201,Platinum,Can't Lose Them,202,5.0,767.326
