customer_id,frequency,recency,T,monetary_value,pred_90d,pred_180d,pred_365d,exp_avg_val,CLV_90d,CLV_180d,CLV_365d,CLV_Tier,at_risk_flag,Segment,Recency,R_Score,F_Score,M_Score,RFM_Score
C10000,1.0,386.0,391.0,177.46,0.3917322518112828,0.7834645036225658,1.5886919101235382,211.78483418319468,82.96294999406199,165.92589998812403,336.4608527536964,Silver,0,Potential Loyalists,5,5,1,2,8
C10001,4.0,407.0,601.0,642.29,0.5705146545441814,1.1410293090883628,2.313753876762512,667.4332871313421,380.7804712390251,761.5609424780502,1544.2763555804895,Platinum,1,At Risk,194,2,3,5,10
C10002,4.0,266.0,667.0,40.5075,0.5367770269528424,1.073554053905686,2.1769290537531973,42.95190682362823,23.055596846742663,46.11119369348538,93.5032538784565,Bronze,0,At Risk,401,1,3,2,6
C10003,2.0,378.0,450.0,19.585,0.466127889584678,0.932255779169354,1.8904075522045265,23.025207570130217,10.732691411913953,21.465382823827856,43.52702628165099,Bronze,0,Potential Loyalists,72,4,1,1,6
C10004,2.0,54.0,654.0,47.095,0.3799239009327327,0.7598478018654651,1.5408024871160826,52.69187778503641,20.01890375556184,40.037807511123646,81.18777634200076,Bronze,0,Hibernating,600,1,1,4,6
C10005,2.0,415.0,625.0,66.305,0.3901817682060007,0.7803635364120011,1.5824038377243337,73.40786232986913,28.64240952409101,57.284819048182,116.16088306992444,Bronze,0,Hibernating,210,2,1,2,5
C10006,1.0,345.0,546.0,57.1,0.3307136784772881,0.6614273569545762,1.3412276960467784,70.94808976607872,23.46350374747673,46.927007494953465,95.1575429758778,Bronze,0,Hibernating,201,2,1,2,5
C10007,5.0,631.0,701.0,146.378,0.5991635052160282,1.198327010432061,2.4299408822650013,151.4896618470599,90.76707679627522,181.53415359255112,368.1109225626714,Silver,0,Champions,70,4,4,4,12
C10008,1.0,87.0,121.0,133.27,0.5772628635820628,1.1545257271641267,2.3411216134161448,160.07682707292255,92.40640758924594,184.8128151784921,374.75931966749766,Silver,0,Potential Loyalists,34,5,1,2,8
C10009,4.0,345.0,628.0,159.38500000000002,0.5562131509030976,1.1124263018061933,2.255753334218115,166.3133958791097,92.50569795931384,185.0113959186274,375.161997279439,Silver,0,At Risk,283,1,3,4,8
C10010,2.0,341.0,718.0,773.52,0.3590897825757929,0.7181795651515859,1.456308562668494,836.0655931926419,300.2226120786472,600.4452241572943,1217.569482318958,Platinum,0,Hibernating,377,1,1,5,7
C10011,5.0,606.0,674.0,275.066,0.613567984218881,1.227135968437763,2.488359047109907,284.03181482723846,174.2728280775792,348.5456561551586,706.7731360924047,Gold,0,Champions,68,4,4,5,13
C10012,4.0,436.0,647.0,438.5025,0.5465714931724533,1.093142986344908,2.2166510556438404,455.9590430490396,249.21421498479648,498.4284299695936,1010.7020941050088,Platinum,1,At Risk,211,2,3,5,10
C10013,3.0,463.0,639.0,219.68666666666664,0.4678757619300752,0.93575152386015,1.897496145605304,232.11349637604283,108.6002789711948,217.20055794238948,440.434464716512,Silver,0,At Risk,176,2,2,4,8
C10014,1.0,314.0,598.0,177.97,0.314289838474508,0.6285796769490165,1.27461990047995,212.38160004936887,66.74937877447371,133.4987575489475,270.70581391869905,Silver,0,Hibernating,284,1,1,2,4
